#& SF ID    & regr. train. & \RNINE trans. & ele ID
 0.02       0.03         0.10            0.01 
 0.01       0.01         0.07            0.01 
 0.01       0.02         0.04            0.02 
 0.00       0.12         0.05            0.04 
 0.01       0.03         0.12            0.02 
 0.01       0.01         0.06            0.01 
 0.01       0.04         0.12            0.02 
 0.02       0.04         0.09            0.02 
