#                     regr. train.  MC    Etmin  ele ID   closure   SF ID   \RNINE trans.  Stat. 
absEta_0_1-bad        0.03          0.02  0.00   0.00     0.00      0.01    0.02           0.00	
absEta_0_1-gold       0.03          0.00  0.00   0.00     0.00      0.00    0.00           0.00	
absEta_1_1.4442-bad   0.00          0.01  0.02   0.00     0.00      0.01    0.00           0.00	
absEta_1_1.4442-gold  0.05          0.03  0.01   0.03     0.03      0.02    0.05           0.01	
absEta_1.566_2-bad    0.07          0.03  0.00   0.01     0.00      0.02    0.02           0.01	
absEta_1.566_2-gold   0.12          0.04  0.04   0.00     0.01      0.01    0.02           0.01	
absEta_2_2.5-bad      0.05          0.07  0.09   0.01     0.01      0.02    0.07           0.01	
absEta_2_2.5-gold     0.10          0.03  0.03   0.00     0.00      0.02    0.00           0.01	
